brand,line_word,share_pct,note
Samsung,GALAXY,53.4,"GALAXY J5 and J5 are one phone; the register writes both"
Apple,IPHONE,57.7,"IPHONE 5S 10007 records against bare 5S 3161 — the same device"
Xiaomi,REDMI,47.7,"the sub-brand doubles as a line word inside Xiaomi's own strings"
Xiaomi,MI,3.1,
Redmi,REDMI,,"restated inside its own brand: REDMI NOTE 7 under brand Redmi"
Poco,POCO,,
HTC,DESIRE,51.6,
LG,OPTIMUS,20.9,
Motorola,MOTO,25.1,
Lenovo,VIBE,9.1,
Nokia,ASHA,4.0,
Nokia,LUMIA,,
Microsoft,LUMIA,,
Sony,XPERIA,,
Sony Ericsson,XPERIA,,
Huawei,ASCEND,,
Honor,HONOR,,
Meizu,MEIZU,,
ZTE,BLADE,,
Alcatel,ONE TOUCH,,
Prestigio,MULTIPHONE,,
